journal,year,n_bar_cont,n_informative,n_bar_or_informative,policy,policy_year,JCR Abbreviation,Publisher,All_Fields
Acta pharmacologica Sinica,2020.0,112,35,115,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2021.0,155,77,169,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2022.0,172,144,215,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2023.0,113,132,173,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2024.0,94,145,167,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2025.0,124,198,228,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
Acta pharmacologica Sinica,2026.0,21,30,35,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY"
American journal of physiology. Cell physiology,2010.0,260,49,265,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2011.0,243,36,246,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2012.0,244,47,253,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2013.0,186,31,189,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2014.0,175,28,179,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2015.0,144,34,148,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2016.0,145,31,151,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2017.0,104,30,108,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2018.0,110,48,117,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2019.0,128,91,169,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2020.0,64,124,148,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2021.0,45,98,102,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2022.0,38,99,108,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2023.0,46,111,121,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2024.0,78,167,181,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2025.0,73,200,211,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Cell physiology,2026.0,10,23,24,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2010.0,204,30,216,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2011.0,220,24,223,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2012.0,248,39,255,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2013.0,247,47,250,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2014.0,215,38,223,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2015.0,171,37,176,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2016.0,148,31,155,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2017.0,98,29,104,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2018.0,128,60,147,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2019.0,149,92,182,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2020.0,96,105,153,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2021.0,75,98,135,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2022.0,25,64,71,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2023.0,30,76,84,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2024.0,38,91,101,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2025.0,39,111,125,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Endocrinology and metabolism,2026.0,2,11,12,1.0,2017,AM J PHYSIOL-ENDOC M,AMER PHYSIOLOGICAL SOC,ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2010.0,219,26,227,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2011.0,189,36,197,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2012.0,236,58,246,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2013.0,179,42,182,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2014.0,154,53,162,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2015.0,135,51,141,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2016.0,161,63,172,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2017.0,79,37,92,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2018.0,119,55,127,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2019.0,101,66,128,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2020.0,82,74,116,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2021.0,51,81,104,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2022.0,24,67,78,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2023.0,27,64,67,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2024.0,42,97,105,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2025.0,36,79,95,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Gastrointestinal and liver physiology,2026.0,2,9,9,1.0,2017,AM J PHYSIOL-GASTR L,AMER PHYSIOLOGICAL SOC,GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2010.0,372,59,388,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2011.0,386,56,404,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2012.0,271,47,285,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2013.0,269,52,275,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2014.0,277,69,297,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2015.0,258,73,288,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2016.0,214,78,238,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2017.0,156,52,172,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2018.0,168,75,195,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2019.0,112,112,180,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2020.0,59,161,182,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2021.0,70,176,195,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2022.0,24,130,132,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2023.0,32,115,122,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2024.0,42,149,157,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2025.0,31,154,164,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Heart and circulatory physiology,2026.0,5,24,25,1.0,2017,AM J PHYSIOL-HEART C,AMER PHYSIOLOGICAL SOC,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
American journal of physiology. Lung cellular and molecular physiology,2010.0,157,29,162,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2011.0,174,25,180,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2012.0,205,59,210,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2013.0,141,43,146,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2014.0,156,43,163,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2015.0,200,82,219,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2016.0,175,66,195,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2017.0,109,106,164,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2018.0,91,114,153,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2019.0,95,110,150,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2020.0,73,130,151,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2021.0,41,140,148,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2022.0,28,96,103,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2023.0,21,110,114,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2024.0,26,120,125,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2025.0,23,98,105,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
American journal of physiology. Lung cellular and molecular physiology,2026.0,2,8,8,1.0,2017,AM J PHYSIOL-LUNG C,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; RESPIRATORY SYSTEM
"American journal of physiology. Regulatory, integrative and comparative physiology",2010.0,279,40,291,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2011.0,259,38,268,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2012.0,220,30,229,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2013.0,196,35,209,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2014.0,186,29,197,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2015.0,184,47,198,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2016.0,192,39,203,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2017.0,113,51,138,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2018.0,133,49,156,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2019.0,96,82,138,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2020.0,73,97,142,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2021.0,45,99,121,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2022.0,31,95,112,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2023.0,23,96,105,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2024.0,23,73,83,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2025.0,31,116,129,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
"American journal of physiology. Regulatory, integrative and comparative physiology",2026.0,0,7,7,1.0,2017,AM J PHYSIOL-REG I,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY
American journal of physiology. Renal physiology,2010.0,252,43,261,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2011.0,242,36,249,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2012.0,292,48,294,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2013.0,273,53,281,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2014.0,228,57,241,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2015.0,188,46,200,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2016.0,174,59,191,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2017.0,156,66,182,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2018.0,207,102,237,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2019.0,167,115,223,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2020.0,114,135,200,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2021.0,48,101,122,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2022.0,25,87,95,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2023.0,22,90,93,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
American journal of physiology. Renal physiology,2024.0,24,121,128,1.0,2017,AM J PHYSIOL-RENAL,AMER PHYSIOLOGICAL SOC,PHYSIOLOGY; UROLOGY & NEPHROLOGY
