JID,Journal Name,JCR_Abbrev,Field,issn,e_issn,issn_fixed,JCR_Rank,IF,Publisher,Publisher_WoS,Policy,Year_policy,checked_last_on,Group,openalex_URL,oa_id,NLM_ISSN,URL,URL2,NLM,FLAG,Policy_location,All_Fields
26,ANNALS OF THORACIC SURGERY,ANN THORAC SURG,CARDIAC & CARDIOVASCULAR SYSTEMS,0003-4975,1552-6259,0003-4975,51,4.3,ELSEVIER SCIENCE INC,ELSEVIER SCIENCE INC,0,,,9,http://www.elsevier.com/wps/find/journaldescription.cws_home/505747/description#description,https://openalex.org/S144860794,https://www.ncbi.nlm.nih.gov/nlmcatalog/20795,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/384617,FALSE,,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
27,Journal of Geriatric Cardiology,J GERIATR CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,1671-5411,N/A,1671-5411,65,3.3,SCIENCE PRESS,TSINGHUA UNIV PRESS,0,,,9,http://www.jgc301.com/ch/index.aspx,https://openalex.org/S2481472796,https://www.ncbi.nlm.nih.gov/nlmcatalog/101237881,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101237881,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS; GERIATRICS & GERONTOLOGY
28,Journal of the American Heart Association,J AM HEART ASSOC,CARDIAC & CARDIOVASCULAR SYSTEMS,2047-9980,2047-9980,2047-9980,35,5.5,WILEY,WILEY,1,2019,4/2/2025,10,https://www.ahajournals.org/journal/jaha,https://openalex.org/S2489920150,https://www.ncbi.nlm.nih.gov/nlmcatalog/101580524,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101580524,TRUE,https://www.ahajournals.org/figure-guidelines,CARDIAC & CARDIOVASCULAR SYSTEMS
29,CANADIAN JOURNAL OF CARDIOLOGY,CAN J CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,0828-282X,1916-7075,0828-282X,38,5.4,ELSEVIER SCIENCE INC,ELSEVIER SCIENCE INC,0,,,10,https://www.journals.elsevier.com/canadian-journal-of-cardiology,https://openalex.org/S126162762,https://www.ncbi.nlm.nih.gov/nlmcatalog/8510280,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/387025,FALSE,,CARDIAC & CARDIOVASCULAR SYSTEMS
30,American Journal of Cardiovascular Drugs,AM J CARDIOVASC DRUG,CARDIAC & CARDIOVASCULAR SYSTEMS,1175-3277,1179-187X,1175-3277,62,3.6,ADIS INT LTD,ADIS INT LTD,0,,,10,https://link.springer.com/journal/40256,https://openalex.org/S151621711,https://www.ncbi.nlm.nih.gov/nlmcatalog/100967755,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/100967755,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
31,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,J MOL CELL CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,0022-2828,1095-8584,0022-2828,44,5,ELSEVIER SCI LTD,ELSEVIER SCI LTD,1,2021,4/2/2025,11,https://www.journals.elsevier.com/journal-of-molecular-and-cellular-cardiology,https://openalex.org/S111163638,https://www.ncbi.nlm.nih.gov/nlmcatalog/262322,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/264468,FALSE,https://www.sciencedirect.com/journal/journal-of-molecular-and-cellular-cardiology/publish/guide-for-authors,CARDIAC & CARDIOVASCULAR SYSTEMS; CELL BIOLOGY
32,NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,NUTR METAB CARDIOVAS,CARDIAC & CARDIOVASCULAR SYSTEMS,0939-4753,1590-3729,0939-4753,53,4.2,ELSEVIER SCI LTD,ELSEVIER SCI LTD,0,,,11,https://www.journals.elsevier.com/nutrition-metabolism-and-cardiovascular-diseases,https://openalex.org/S4455515,https://www.ncbi.nlm.nih.gov/nlmcatalog/9111474,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/9111474,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS; ENDOCRINOLOGY & METABOLISM; NUTRITION & DIETETICS
33,ATHEROSCLEROSIS,ATHEROSCLEROSIS,CARDIAC & CARDIOVASCULAR SYSTEMS,0021-9150,1879-1484,0021-9150,43,5.2,ELSEVIER IRELAND LTD,ELSEVIER IRELAND LTD,0,,,11,http://www.elsevier.com/wps/find/journaldescription.cws_home/522790/description,https://openalex.org/S206830620,https://www.ncbi.nlm.nih.gov/nlmcatalog/242543,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/270972,FALSE,,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
34,BRAIN,BRAIN,CLINICAL NEUROLOGY,0006-8950,1460-2156,0006-8950,6,13.5,OXFORD UNIV PRESS,OXFORD UNIV PRESS,1,2013,4/2/2025,12,http://brain.oxfordjournals.org/,https://openalex.org/S118357697,https://www.ncbi.nlm.nih.gov/nlmcatalog/372537,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/499595,FALSE,https://academic.oup.com/brain/pages/General_Instructions,CLINICAL NEUROLOGY; NEUROSCIENCES
35,MOVEMENT DISORDERS,MOVEMENT DISORD,CLINICAL NEUROLOGY,0885-3185,1531-8257,0885-3185,10,10.3,WILEY,WILEY,0,,,12,http://www3.interscience.wiley.com/journal/76507419/home,https://openalex.org/S163027424,https://www.ncbi.nlm.nih.gov/nlmcatalog/8610688,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/500078,FALSE,,CLINICAL NEUROLOGY
36,NEURO-ONCOLOGY,NEURO-ONCOLOGY,CLINICAL NEUROLOGY,1522-8517,1523-5866,1522-8517,7,12.3,OXFORD UNIV PRESS INC,OXFORD UNIV PRESS INC,0,,,12,http://neuro-oncology.oxfordjournals.org,https://openalex.org/S106908163,https://www.ncbi.nlm.nih.gov/nlmcatalog/100887420,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/499664,FALSE,,CLINICAL NEUROLOGY; ONCOLOGY
37,STROKE,STROKE,CLINICAL NEUROLOGY,0039-2499,1524-4628,0039-2499,16,7.9,LIPPINCOTT WILLIAMS & WILKINS,LIPPINCOTT WILLIAMS & WILKINS,1,2019,4/2/2025,13,http://stroke.ahajournals.org/,https://openalex.org/S62532593,https://www.ncbi.nlm.nih.gov/nlmcatalog/235266,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/497962,FALSE,https://www.ahajournals.org/figure-guidelines,CLINICAL NEUROLOGY; PERIPHERAL VASCULAR DISEASE
38,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,NEUROPATH APPL NEURO,CLINICAL NEUROLOGY,0305-1846,1365-2990,0305-1846,15,8.1,WILEY,WILEY,0,,,13,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2990,https://openalex.org/S148217029,https://www.ncbi.nlm.nih.gov/nlmcatalog/7609829,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/7609829,TRUE,,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
39,Neurotherapeutics,NEUROTHERAPEUTICS,CLINICAL NEUROLOGY,1933-7213,1878-7479,1933-7213,17,7.6,SPRINGER,ELSEVIER SCIENCE INC,0,,,13,https://www.springer.com/journal/13311,https://openalex.org/S75519821,https://www.ncbi.nlm.nih.gov/nlmcatalog/101290381,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101712525,FALSE,,CLINICAL NEUROLOGY; NEUROSCIENCES; PHARMACOLOGY & PHARMACY
40,Nature Metabolism,NAT METAB,ENDOCRINOLOGY & METABOLISM,N/A,2522-5812,2522-5812,6,13.5,NATURE RESEARCH,NATURE PORTFOLIO,1,2013,4/2/2025,14,https://www.nature.com/natmetab/,https://openalex.org/S4210232714,https://www.ncbi.nlm.nih.gov/nlmcatalog/101736592,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101736592,TRUE,https://www.nature.com/natmetab/submission-guidelines,ENDOCRINOLOGY & METABOLISM
41,Cell Metabolism,CELL METAB,ENDOCRINOLOGY & METABOLISM,1550-4131,1932-7420,1550-4131,3,27.3,CELL PRESS,CELL PRESS,0,,,14,https://www.sciencedirect.com/journal/cell-metabolism,https://openalex.org/S177533077,https://www.ncbi.nlm.nih.gov/nlmcatalog/101233170,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101761816,FALSE,,CELL BIOLOGY; ENDOCRINOLOGY & METABOLISM
42,DIABETES CARE,DIABETES CARE,ENDOCRINOLOGY & METABOLISM,0149-5992,1935-5548,0149-5992,5,19.1,AMER DIABETES ASSOC,AMER DIABETES ASSOC,0,,,14,http://care.diabetesjournals.org/,https://openalex.org/S49878492,https://www.ncbi.nlm.nih.gov/nlmcatalog/7805975,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/496016,FALSE,,ENDOCRINOLOGY & METABOLISM
43,DIABETOLOGIA,DIABETOLOGIA,ENDOCRINOLOGY & METABOLISM,0012-186X,1432-0428,0012-186X,9,10.1,SPRINGER,SPRINGER,1,2018,4/2/2025,15,http://www.diabetologia-journal.org/,https://openalex.org/S104375418,https://www.ncbi.nlm.nih.gov/nlmcatalog/6777,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101765129,FALSE,https://diabetologia-journal.org/for-authors-and-reviewers/instructions-to-authors/,ENDOCRINOLOGY & METABOLISM
44,JOURNAL OF PINEAL RESEARCH,J PINEAL RES,ENDOCRINOLOGY & METABOLISM,0742-3098,1935-5548,0742-3098,7,13,WILEY,WILEY,0,,,15,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-079X,https://openalex.org/S114728194,https://www.ncbi.nlm.nih.gov/nlmcatalog/7805975,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/8504412,FALSE,,ENDOCRINOLOGY & METABOLISM; NEUROSCIENCES; PHYSIOLOGY
45,Cardiovascular Diabetology,CARDIOVASC DIABETOL,ENDOCRINOLOGY & METABOLISM,N/A,1475-2840,1475-2840,10,10,BMC,BMC,0,,,15,http://www.cardiab.biomedcentral.com/,https://openalex.org/S12095120,https://www.ncbi.nlm.nih.gov/nlmcatalog/101147637,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/274301,FALSE,,CARDIAC & CARDIOVASCULAR SYSTEMS; ENDOCRINOLOGY & METABOLISM
46,DIABETES,DIABETES,ENDOCRINOLOGY & METABOLISM,0012-1797,1939-327X,0012-1797,11,9.5,AMER DIABETES ASSOC,AMER DIABETES ASSOC,1,2017,4/2/2025,16,http://diabetes.diabetesjournals.org/,https://openalex.org/S129060628,https://www.ncbi.nlm.nih.gov/nlmcatalog/372763,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/499981,FALSE,https://diabetesjournals.org/diabetes/pages/instructions-for-authors,ENDOCRINOLOGY & METABOLISM
47,METABOLISM-CLINICAL AND EXPERIMENTAL,METABOLISM,ENDOCRINOLOGY & METABOLISM,0026-0495,1532-8600,0026-0495,13,8.7,W B SAUNDERS CO-ELSEVIER INC,W B SAUNDERS CO-ELSEVIER INC,0,,,16,https://www.journals.elsevier.com/metabolism,https://openalex.org/S119661813,https://www.ncbi.nlm.nih.gov/nlmcatalog/375267,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/8707992,FALSE,,ENDOCRINOLOGY & METABOLISM
48,DIABETES OBESITY & METABOLISM,DIABETES OBES METAB,ENDOCRINOLOGY & METABOLISM,1462-8902,1463-1326,1462-8902,21,6.6,WILEY,WILEY,0,,,16,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1463-1326,https://openalex.org/S148394532,https://www.ncbi.nlm.nih.gov/nlmcatalog/100883645,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/129633,FALSE,,ENDOCRINOLOGY & METABOLISM
49,ANTIOXIDANTS & REDOX SIGNALING,ANTIOXID REDOX SIGN,ENDOCRINOLOGY & METABOLISM,1523-0864,1557-7716,1523-0864,15,8.4,"MARY ANN LIEBERT, INC","MARY ANN LIEBERT, INC",1,2020,4/2/2025,17,http://www.liebertpub.com/ARS,https://openalex.org/S88052261,https://www.ncbi.nlm.nih.gov/nlmcatalog/100888899,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/100888899,TRUE,https://www.sagepub.com/journals/information-for-authors,BIOCHEMISTRY & MOLECULAR BIOLOGY; ENDOCRINOLOGY & METABOLISM
