field,journal,year,n_graphs,n_bar_cont,n_informative,n_bar_or_informative,policy,policy_year,log_offset,year_centered,JCR_Abbrev,JID,num_articles,p_bar,p_informative,p_total,All_Fields
cardiac & cardiovascular systems,basic research in cardiology,2010,70,63,15,65,0,0,-0.356674944,-7.994935106,BASIC RES CARDIOL,5,65,0.9692307692307692,0.23076923076923078,65,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2011,97,87,20,92,0,0,-0.030459207,-6.994935106,BASIC RES CARDIOL,5,92,0.9456521739130435,0.21739130434782608,92,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2012,67,60,20,63,0,0,-0.400477567,-5.994935106,BASIC RES CARDIOL,5,63,0.9523809523809523,0.31746031746031744,63,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2013,68,63,16,66,0,0,-0.385662481,-4.994935106,BASIC RES CARDIOL,5,66,0.9545454545454546,0.24242424242424243,66,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2014,48,43,16,47,0,0,-0.733969175,-3.994935106,BASIC RES CARDIOL,5,47,0.9148936170212766,0.3404255319148936,47,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2015,54,50,18,53,0,0,-0.616186139,-2.994935106,BASIC RES CARDIOL,5,53,0.9433962264150944,0.33962264150943394,53,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2016,53,51,20,53,0,0,-0.634878272,-1.994935106,BASIC RES CARDIOL,5,53,0.9622641509433962,0.37735849056603776,53,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2017,57,50,19,54,0,0,-0.562118918,-0.994935106,BASIC RES CARDIOL,5,54,0.9259259259259259,0.35185185185185186,54,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2018,28,21,15,27,0,0,-1.272965676,0.005064894,BASIC RES CARDIOL,5,27,0.7777777777777778,0.5555555555555556,27,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2019,40,29,27,38,0,0,-0.916290732,1.005064894,BASIC RES CARDIOL,5,38,0.7631578947368421,0.7105263157894737,38,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2020,55,35,41,54,0,0,-0.597837001,2.005064894,BASIC RES CARDIOL,5,54,0.6481481481481481,0.7592592592592593,54,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2021,48,21,39,46,0,0,-0.733969175,3.005064894,BASIC RES CARDIOL,5,46,0.45652173913043476,0.8478260869565217,46,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2022,47,25,41,46,0,0,-0.755022584,4.005064894,BASIC RES CARDIOL,5,46,0.5434782608695652,0.8913043478260869,46,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2023,35,14,30,33,0,0,-1.049822124,5.005064894,BASIC RES CARDIOL,5,33,0.42424242424242425,0.9090909090909091,33,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2024,45,11,42,43,0,0,-0.798507696,6.005064894,BASIC RES CARDIOL,5,43,0.2558139534883721,0.9767441860465116,43,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2025,50,10,47,48,0,0,-0.693147181,7.005064894,BASIC RES CARDIOL,5,48,0.20833333333333334,0.9791666666666666,48,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,basic research in cardiology,2026,7,1,6,6,0,0,-2.659260037,8.005064894,BASIC RES CARDIOL,5,6,0.16666666666666666,1,6,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2010,50,14,5,19,0,0,-0.693147181,-7.994935106,CAN J CARDIOL,29,19,0.7368421052631579,0.2631578947368421,19,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2011,62,10,10,18,0,0,-0.478035801,-6.994935106,CAN J CARDIOL,29,18,0.5555555555555556,0.5555555555555556,18,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2012,60,10,6,15,0,0,-0.510825624,-5.994935106,CAN J CARDIOL,29,15,0.6666666666666666,0.4,15,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2013,112,25,16,37,0,0,0.113328685,-4.994935106,CAN J CARDIOL,29,37,0.6756756756756757,0.43243243243243246,37,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2014,106,20,13,31,0,0,0.058268908,-3.994935106,CAN J CARDIOL,29,31,0.6451612903225806,0.41935483870967744,31,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2015,74,21,11,28,0,0,-0.301105093,-2.994935106,CAN J CARDIOL,29,28,0.75,0.39285714285714285,28,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2016,121,24,17,39,0,0,0.19062036,-1.994935106,CAN J CARDIOL,29,39,0.6153846153846154,0.4358974358974359,39,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2017,77,13,18,29,0,0,-0.261364764,-0.994935106,CAN J CARDIOL,29,29,0.4482758620689655,0.6206896551724138,29,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2018,93,11,6,16,0,0,-0.072570693,0.005064894,CAN J CARDIOL,29,16,0.6875,0.375,16,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2019,96,17,27,38,0,0,-0.040821995,1.005064894,CAN J CARDIOL,29,38,0.4473684210526316,0.7105263157894737,38,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2020,105,12,24,29,0,0,0.048790164,2.005064894,CAN J CARDIOL,29,29,0.41379310344827586,0.8275862068965517,29,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2021,112,13,18,25,0,0,0.113328685,3.005064894,CAN J CARDIOL,29,25,0.52,0.72,25,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2022,62,9,13,19,0,0,-0.478035801,4.005064894,CAN J CARDIOL,29,19,0.47368421052631576,0.6842105263157895,19,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2023,64,12,17,27,0,0,-0.446287103,5.005064894,CAN J CARDIOL,29,27,0.4444444444444444,0.6296296296296297,27,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2024,81,5,17,21,0,0,-0.210721031,6.005064894,CAN J CARDIOL,29,21,0.23809523809523808,0.8095238095238095,21,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,canadian journal of cardiology,2025,111,17,31,42,0,0,0.104360015,7.005064894,CAN J CARDIOL,29,42,0.40476190476190477,0.7380952380952381,42,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation,2010,331,136,76,172,1,1,1.196948189,-7.994935106,CIRCULATION,1,172,0.7906976744186046,0.4418604651162791,172,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2011,262,135,58,157,1,2,0.963174318,-6.994935106,CIRCULATION,1,157,0.8598726114649682,0.36942675159235666,157,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2012,53,24,9,29,1,3,-0.634878272,-5.994935106,CIRCULATION,1,29,0.8275862068965517,0.3103448275862069,29,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2013,201,96,59,121,1,4,0.698134722,-4.994935106,CIRCULATION,1,121,0.7933884297520661,0.48760330578512395,121,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2014,175,57,43,79,1,5,0.559615788,-3.994935106,CIRCULATION,1,79,0.7215189873417721,0.5443037974683544,79,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2015,54,14,18,26,1,6,-0.616186139,-2.994935106,CIRCULATION,1,26,0.5384615384615384,0.6923076923076923,26,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2016,10,2,2,4,1,7,-2.302585093,-1.994935106,CIRCULATION,1,4,0.5,0.5,4,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2017,15,11,11,13,1,8,-1.897119985,-0.994935106,CIRCULATION,1,13,0.8461538461538461,0.8461538461538461,13,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2018,12,9,6,10,1,9,-2.120263536,0.005064894,CIRCULATION,1,10,0.9,0.6,10,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2019,1,1,0,1,1,10,-4.605170186,1.005064894,CIRCULATION,1,1,1,0,1,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2021,2,1,0,1,1,11,-3.912023005,3.005064894,CIRCULATION,1,1,1,0,1,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2022,167,24,91,95,1,12,0.512823626,4.005064894,CIRCULATION,1,95,0.25263157894736843,0.9578947368421052,95,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2023,179,30,89,94,1,13,0.58221562,5.005064894,CIRCULATION,1,94,0.3191489361702128,0.9468085106382979,94,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2024,182,30,101,106,1,14,0.598836501,6.005064894,CIRCULATION,1,106,0.2830188679245283,0.9528301886792453,106,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2025,190,33,116,125,1,15,0.641853886,7.005064894,CIRCULATION,1,125,0.264,0.928,125,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation,2026,12,1,7,7,1,16,-2.120263536,8.005064894,CIRCULATION,1,7,0.14285714285714285,1,7,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2010,62,17,10,25,1,1,-0.478035801,-7.994935106,,,25,0.68,0.4,25,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2011,65,17,10,24,1,2,-0.430782916,-6.994935106,,,24,0.7083333333333334,0.4166666666666667,24,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2012,25,8,9,12,1,3,-1.386294361,-5.994935106,,,12,0.6666666666666666,0.75,12,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2013,86,16,19,31,1,4,-0.15082289,-4.994935106,,,31,0.5161290322580645,0.6129032258064516,31,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2014,51,10,12,19,1,5,-0.673344553,-3.994935106,,,19,0.5263157894736842,0.631578947,19,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2015,2,2,0,2,1,6,-3.912023005,-2.994935106,,,2,1,0,2,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2017,2,1,1,2,1,7,-3.912023005,-0.994935106,,,2,0.5,0.5,2,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2022,49,7,16,21,1,9,-0.713349888,4.005064894,,,21,0.3333333333333333,0.7619047619047619,21,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2023,49,6,19,21,1,10,-0.713349888,5.005064894,,,21,0.2857142857142857,0.9047619047619048,21,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2024,64,14,24,30,1,11,-0.446287103,6.005064894,,,30,0.4666666666666667,0.8,30,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2025,73,12,30,34,1,12,-0.314710745,7.005064894,,,34,0.35294117647058826,0.8823529411764706,34,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-arrhythmia and electrophysiology,2026,8,3,1,4,1,13,-2.525728644,8.005064894,,,4,0.75,0.25,4,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2010,16,5,6,9,1,1,-1.832581464,-7.994935106,,,9,0.5555555555555556,0.6666666666666666,9,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2011,29,11,3,14,1,2,-1.237874356,-6.994935106,,,14,0.7857142857142857,0.21428571428571427,14,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2012,34,16,4,19,1,3,-1.078809661,-5.994935106,,,19,0.8421052631578947,0.21052631578947367,19,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2013,22,8,6,13,1,4,-1.514127733,-4.994935106,,,13,0.6153846153846154,0.46153846153846156,13,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2014,19,2,6,7,1,5,-1.660731207,-3.994935106,,,7,0.2857142857142857,0.8571428571428571,7,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2015,31,5,8,11,1,6,-1.171182982,-2.994935106,,,11,0.45454545454545453,0.7272727272727273,11,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2016,21,4,4,8,1,7,-1.560647748,-1.994935106,,,8,0.5,0.5,8,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2017,15,2,3,5,1,8,-1.897119985,-0.994935106,,,5,0.4,0.6,5,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2018,9,2,1,3,1,9,-2.407945609,0.005064894,,,3,0.6666666666666666,0.3333333333333333,3,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2019,2,1,1,2,1,10,-3.912023005,1.005064894,,,2,0.5,0.5,2,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2020,46,9,10,17,1,11,-0.776528789,2.005064894,,,17,0.5294117647058824,0.5882352941176471,17,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2022,45,4,13,16,1,13,-0.798507696,4.005064894,,,16,0.25,0.8125,16,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2023,52,9,14,18,1,14,-0.653926467,5.005064894,,,18,0.5,0.7777777777777778,18,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2024,58,5,17,20,1,15,-0.544727175,6.005064894,,,20,0.25,0.85,20,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2025,66,8,26,32,1,16,-0.415515444,7.005064894,,,32,0.25,0.8125,32,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular imaging,2026,5,1,2,2,1,17,-2.995732274,8.005064894,,,2,0.5,1,2,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
cardiac & cardiovascular systems,circulation-cardiovascular interventions,2010,46,17,4,19,1,1,-0.776528789,-7.994935106,,,19,0.8947368421052632,0.21052631578947367,19,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-cardiovascular interventions,2011,33,13,7,17,1,2,-1.108662625,-6.994935106,,,17,0.7647058823529411,0.4117647058823529,17,CARDIAC & CARDIOVASCULAR SYSTEMS
cardiac & cardiovascular systems,circulation-cardiovascular interventions,2012,14,5,4,7,1,3,-1.966112856,-5.994935106,,,7,0.7142857142857143,0.5714285714285714,7,CARDIAC & CARDIOVASCULAR SYSTEMS
