journal,year,n_bar_cont,n_informative,n_bar_or_informative,policy,policy_year,JCR Abbreviation,Publisher,All_Fields,p_bar,p_informative,p_total
Acta neuropathologica,2020.0,32,58,68,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.4705882352941176,0.8529411764705882,1.3235294117647058
Acta neuropathologica,2021.0,31,67,73,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.4246575342465753,0.9178082191780822,1.3424657534246576
Acta neuropathologica,2022.0,24,61,65,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.3692307692307692,0.9384615384615383,1.3076923076923077
Acta neuropathologica,2023.0,25,64,68,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.3676470588235294,0.9411764705882352,1.3088235294117647
Acta neuropathologica,2024.0,28,102,108,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.2592592592592592,0.9444444444444444,1.2037037037037035
Acta neuropathologica,2025.0,25,78,83,0.0,,ACTA NEUROPATHOL,SPRINGER,CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY,0.3012048192771084,0.9397590361445785,1.2409638554216869
Acta pharmacologica Sinica,2010.0,139,27,141,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9858156028368794,0.1914893617021276,1.177304964539007
Acta pharmacologica Sinica,2011.0,123,17,125,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.984,0.136,1.12
Acta pharmacologica Sinica,2012.0,113,22,123,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.91869918699187,0.1788617886178861,1.0975609756097562
Acta pharmacologica Sinica,2013.0,119,29,124,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9596774193548387,0.2338709677419354,1.1935483870967742
Acta pharmacologica Sinica,2014.0,132,23,133,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9924812030075189,0.1729323308270676,1.1654135338345863
Acta pharmacologica Sinica,2015.0,89,22,95,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.936842105263158,0.231578947368421,1.168421052631579
Acta pharmacologica Sinica,2016.0,119,34,124,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9596774193548387,0.2741935483870967,1.2338709677419355
Acta pharmacologica Sinica,2017.0,111,28,113,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9823008849557522,0.247787610619469,1.2300884955752212
Acta pharmacologica Sinica,2018.0,122,37,130,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9384615384615383,0.2846153846153846,1.2230769230769232
Acta pharmacologica Sinica,2019.0,127,51,133,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9548872180451128,0.3834586466165413,1.3383458646616542
Acta pharmacologica Sinica,2020.0,112,35,115,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9739130434782608,0.3043478260869565,1.2782608695652176
Acta pharmacologica Sinica,2021.0,155,77,169,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.9171597633136096,0.4556213017751479,1.3727810650887573
Acta pharmacologica Sinica,2022.0,172,144,215,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.8,0.6697674418604651,1.4697674418604652
Acta pharmacologica Sinica,2023.0,113,132,173,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.653179190751445,0.7630057803468208,1.4161849710982657
Acta pharmacologica Sinica,2024.0,94,145,167,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.562874251497006,0.8682634730538922,1.431137724550898
Acta pharmacologica Sinica,2025.0,124,198,228,1.0,2013,ACTA PHARMACOL SIN,NATURE PUBL GROUP,"CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY",0.543859649122807,0.868421052631579,1.412280701754386
"Acta physiologica (Oxford, England)",2010.0,57,12,63,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.9047619047619048,0.1904761904761904,1.0952380952380951
"Acta physiologica (Oxford, England)",2011.0,68,12,71,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.9577464788732394,0.1690140845070422,1.1267605633802815
"Acta physiologica (Oxford, England)",2012.0,59,7,60,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.9833333333333332,0.1166666666666666,1.1
"Acta physiologica (Oxford, England)",2013.0,68,8,69,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.9855072463768116,0.1159420289855072,1.1014492753623188
"Acta physiologica (Oxford, England)",2014.0,97,19,101,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.9603960396039604,0.1881188118811881,1.1485148514851484
"Acta physiologica (Oxford, England)",2015.0,66,17,68,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.9705882352941176,0.25,1.2205882352941178
"Acta physiologica (Oxford, England)",2016.0,47,5,48,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.9791666666666666,0.1041666666666666,1.0833333333333333
"Acta physiologica (Oxford, England)",2017.0,56,17,61,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.918032786885246,0.2786885245901639,1.1967213114754098
"Acta physiologica (Oxford, England)",2018.0,68,25,77,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.8831168831168831,0.3246753246753247,1.207792207792208
"Acta physiologica (Oxford, England)",2019.0,61,31,75,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.8133333333333334,0.4133333333333333,1.2266666666666666
"Acta physiologica (Oxford, England)",2020.0,44,33,57,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.7719298245614035,0.5789473684210527,1.350877192982456
"Acta physiologica (Oxford, England)",2021.0,47,56,75,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.6266666666666667,0.7466666666666667,1.3733333333333335
"Acta physiologica (Oxford, England)",2022.0,32,45,55,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.5818181818181818,0.8181818181818182,1.4
"Acta physiologica (Oxford, England)",2023.0,23,40,48,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.4791666666666667,0.8333333333333334,1.3125
"Acta physiologica (Oxford, England)",2024.0,31,67,79,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.3924050632911392,0.8481012658227848,1.240506329113924
"Acta physiologica (Oxford, England)",2025.0,26,68,73,0.0,,ACTA PHYSIOL,WILEY,PHYSIOLOGY,0.3561643835616438,0.9315068493150684,1.287671232876712
The aging male : the official journal of the International Society for the Study of the Aging Male,2010.0,8,3,11,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.7272727272727273,0.2727272727272727,1.0
The aging male : the official journal of the International Society for the Study of the Aging Male,2011.0,7,6,11,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.6363636363636364,0.5454545454545454,1.1818181818181817
The aging male : the official journal of the International Society for the Study of the Aging Male,2012.0,9,7,14,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.6428571428571429,0.5,1.1428571428571428
The aging male : the official journal of the International Society for the Study of the Aging Male,2013.0,4,4,8,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.5,0.5,1.0
The aging male : the official journal of the International Society for the Study of the Aging Male,2014.0,9,2,11,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.8181818181818182,0.1818181818181818,1.0
The aging male : the official journal of the International Society for the Study of the Aging Male,2015.0,13,3,14,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.9285714285714286,0.2142857142857142,1.1428571428571428
The aging male : the official journal of the International Society for the Study of the Aging Male,2016.0,5,1,5,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,1.0,0.2,1.2
The aging male : the official journal of the International Society for the Study of the Aging Male,2017.0,7,2,9,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.7777777777777778,0.2222222222222222,1.0
The aging male : the official journal of the International Society for the Study of the Aging Male,2018.0,7,2,9,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.7777777777777778,0.2222222222222222,1.0
The aging male : the official journal of the International Society for the Study of the Aging Male,2019.0,2,3,5,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.4,0.6,1.0
The aging male : the official journal of the International Society for the Study of the Aging Male,2020.0,24,14,34,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.7058823529411765,0.4117647058823529,1.1176470588235294
The aging male : the official journal of the International Society for the Study of the Aging Male,2021.0,1,2,3,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.3333333333333333,0.6666666666666666,1.0
The aging male : the official journal of the International Society for the Study of the Aging Male,2022.0,1,4,5,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.2,0.8,1.0
The aging male : the official journal of the International Society for the Study of the Aging Male,2023.0,4,2,6,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.6666666666666666,0.3333333333333333,1.0
The aging male : the official journal of the International Society for the Study of the Aging Male,2024.0,2,5,7,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.2857142857142857,0.7142857142857143,1.0
The aging male : the official journal of the International Society for the Study of the Aging Male,2025.0,7,3,9,0.0,,AGING MALE,TAYLOR & FRANCIS LTD,ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY,0.7777777777777778,0.3333333333333333,1.1111111111111112
Alimentary pharmacology &amp; therapeutics,2010.0,31,36,63,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.492063492063492,0.5714285714285714,1.0634920634920637
Alimentary pharmacology &amp; therapeutics,2011.0,39,35,71,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.5492957746478874,0.4929577464788732,1.0422535211267605
Alimentary pharmacology &amp; therapeutics,2012.0,31,32,60,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.5166666666666667,0.5333333333333333,1.05
Alimentary pharmacology &amp; therapeutics,2013.0,24,30,50,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.48,0.6,1.08
Alimentary pharmacology &amp; therapeutics,2014.0,23,29,46,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.5,0.6304347826086957,1.1304347826086958
Alimentary pharmacology &amp; therapeutics,2015.0,23,48,62,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.3709677419354839,0.7741935483870968,1.1451612903225803
Alimentary pharmacology &amp; therapeutics,2016.0,27,54,73,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.3698630136986301,0.7397260273972602,1.1095890410958904
Alimentary pharmacology &amp; therapeutics,2017.0,17,41,54,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.3148148148148148,0.7592592592592593,1.0740740740740742
Alimentary pharmacology &amp; therapeutics,2018.0,30,44,61,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.4918032786885246,0.7213114754098361,1.213114754098361
Alimentary pharmacology &amp; therapeutics,2019.0,22,36,51,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.4313725490196078,0.7058823529411765,1.1372549019607845
Alimentary pharmacology &amp; therapeutics,2020.0,27,39,59,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.4576271186440678,0.6610169491525424,1.1186440677966103
Alimentary pharmacology &amp; therapeutics,2021.0,12,34,44,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.2727272727272727,0.7727272727272727,1.0454545454545454
Alimentary pharmacology &amp; therapeutics,2022.0,17,38,49,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.3469387755102041,0.7755102040816326,1.1224489795918366
Alimentary pharmacology &amp; therapeutics,2023.0,18,39,50,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.36,0.78,1.14
Alimentary pharmacology &amp; therapeutics,2024.0,22,34,51,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.4313725490196078,0.6666666666666666,1.0980392156862746
Alimentary pharmacology &amp; therapeutics,2025.0,22,40,57,0.0,,ALIMENT PHARM THER,WILEY,GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY,0.3859649122807017,0.7017543859649122,1.087719298245614
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2010.0,6,1,7,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.8571428571428571,0.1428571428571428,1.0
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2011.0,2,1,3,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.6666666666666666,0.3333333333333333,1.0
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2012.0,8,2,9,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.8888888888888888,0.2222222222222222,1.1111111111111112
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2013.0,5,1,6,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.8333333333333334,0.1666666666666666,1.0
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2014.0,3,2,5,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.6,0.4,1.0
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2015.0,0,3,3,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.0,1.0,1.0
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2016.0,2,3,4,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.5,0.75,1.25
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2017.0,1,2,2,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.5,1.0,1.5
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2018.0,4,3,5,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.8,0.6,1.4
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2019.0,2,5,7,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.2857142857142857,0.7142857142857143,1.0
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2020.0,1,2,3,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.3333333333333333,0.6666666666666666,1.0
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2021.0,5,6,9,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.5555555555555556,0.6666666666666666,1.2222222222222223
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2022.0,1,4,5,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.2,0.8,1.0
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2023.0,3,3,6,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.5,0.5,1.0
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2024.0,1,2,3,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.3333333333333333,0.6666666666666666,1.0
"American journal of cardiovascular drugs : drugs, devices, and other interventions",2025.0,2,5,7,0.0,,AM J CARDIOVASC DRUG,ADIS INT LTD,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY,0.2857142857142857,0.7142857142857143,1.0
American journal of human genetics,2010.0,50,27,70,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.7142857142857143,0.3857142857142857,1.1
American journal of human genetics,2011.0,49,11,58,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.8448275862068966,0.1896551724137931,1.0344827586206895
American journal of human genetics,2012.0,60,33,83,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.7228915662650602,0.3975903614457831,1.120481927710843
American journal of human genetics,2013.0,81,36,101,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.801980198019802,0.3564356435643564,1.1584158415841586
American journal of human genetics,2014.0,52,35,72,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.7222222222222222,0.4861111111111111,1.2083333333333333
American journal of human genetics,2015.0,43,31,60,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.7166666666666667,0.5166666666666667,1.2333333333333334
American journal of human genetics,2016.0,74,69,120,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.6166666666666667,0.575,1.1916666666666669
American journal of human genetics,2017.0,66,53,93,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.7096774193548387,0.5698924731182796,1.2795698924731185
American journal of human genetics,2018.0,58,62,99,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.5858585858585859,0.6262626262626263,1.2121212121212122
American journal of human genetics,2019.0,69,85,121,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.5702479338842975,0.7024793388429752,1.2727272727272727
American journal of human genetics,2020.0,46,77,99,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.4646464646464646,0.7777777777777778,1.2424242424242424
American journal of human genetics,2021.0,47,79,100,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.47,0.79,1.26
American journal of human genetics,2022.0,35,80,94,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.3723404255319149,0.851063829787234,1.2234042553191489
American journal of human genetics,2023.0,35,78,87,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.4022988505747126,0.896551724137931,1.2988505747126438
American journal of human genetics,2024.0,46,99,111,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.4144144144144144,0.8918918918918919,1.3063063063063065
American journal of human genetics,2025.0,41,99,114,0.0,,AM J HUM GENET,CELL PRESS,GENETICS & HEREDITY,0.3596491228070175,0.868421052631579,1.2280701754385963
American journal of physiology. Cell physiology,2010.0,260,49,265,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.981132075471698,0.1849056603773584,1.1660377358490566
American journal of physiology. Cell physiology,2011.0,243,36,246,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.9878048780487804,0.1463414634146341,1.1341463414634143
American journal of physiology. Cell physiology,2012.0,244,47,253,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.9644268774703556,0.1857707509881423,1.150197628458498
American journal of physiology. Cell physiology,2013.0,186,31,189,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.984126984126984,0.164021164021164,1.148148148148148
American journal of physiology. Cell physiology,2014.0,175,28,179,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.9776536312849162,0.1564245810055866,1.1340782122905029
American journal of physiology. Cell physiology,2015.0,144,34,148,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.972972972972973,0.2297297297297297,1.2027027027027029
American journal of physiology. Cell physiology,2016.0,145,31,151,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.9602649006622516,0.2052980132450331,1.1655629139072847
American journal of physiology. Cell physiology,2017.0,104,30,108,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.9629629629629628,0.2777777777777778,1.2407407407407407
American journal of physiology. Cell physiology,2018.0,110,48,117,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.9401709401709402,0.4102564102564102,1.3504273504273503
American journal of physiology. Cell physiology,2019.0,128,91,169,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.757396449704142,0.5384615384615384,1.2958579881656804
American journal of physiology. Cell physiology,2020.0,64,124,148,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.4324324324324324,0.8378378378378378,1.2702702702702702
American journal of physiology. Cell physiology,2021.0,45,98,102,1.0,2017,AM J PHYSIOL-CELL PH,AMER PHYSIOLOGICAL SOC,CELL BIOLOGY; PHYSIOLOGY,0.4411764705882353,0.9607843137254902,1.4019607843137254
