JCR Abbreviation	year	has_bar	has_informative	has_bar_or_informative	journal	Publisher	Policy	Policy_date	All_Fields
ACTA NEUROPATHOL	2025.0	25	78	83	Acta neuropathologica	SPRINGER	0.0		CLINICAL NEUROLOGY; NEUROSCIENCES; PATHOLOGY
ACTA PHARMACOL SIN	2010.0	139	27	141	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2011.0	123	17	125	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2012.0	113	22	123	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2013.0	119	29	124	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2014.0	132	23	133	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2015.0	89	22	95	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2016.0	119	34	124	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2017.0	111	28	113	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2018.0	122	37	130	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2019.0	127	51	133	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2020.0	112	35	115	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2021.0	155	77	169	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2022.0	172	144	215	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2023.0	113	132	173	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2024.0	94	145	167	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2025.0	124	198	228	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHARMACOL SIN	2026.0	21	30	35	Acta pharmacologica Sinica	NATURE PUBL GROUP	1.0	2013	CHEMISTRY, MULTIDISCIPLINARY; PHARMACOLOGY & PHARMACY
ACTA PHYSIOL	2010.0	57	12	63	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2011.0	68	12	71	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2012.0	59	7	60	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2013.0	68	8	69	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2014.0	97	19	101	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2015.0	66	17	68	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2016.0	47	5	48	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2017.0	56	17	61	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2018.0	68	25	77	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2019.0	61	31	75	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2020.0	44	33	57	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2021.0	47	56	75	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2022.0	32	45	55	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2023.0	23	40	48	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2024.0	31	67	79	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
ACTA PHYSIOL	2025.0	26	68	73	Acta physiologica (Oxford, England)	WILEY	0.0		PHYSIOLOGY
AGING MALE	2010.0	8	3	11	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2011.0	7	6	11	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2012.0	9	7	14	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2013.0	4	4	8	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2014.0	9	2	11	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2015.0	13	3	14	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2016.0	5	1	5	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2017.0	7	2	9	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2018.0	7	2	9	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2019.0	2	3	5	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2020.0	24	14	34	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2021.0	1	2	3	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2022.0	1	4	5	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2023.0	4	2	6	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2024.0	2	5	7	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2025.0	7	3	9	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
AGING MALE	2026.0	0	0	0	The aging male : the official journal of the International Society for the Study of the Aging Male	TAYLOR & FRANCIS LTD	0.0		ENDOCRINOLOGY & METABOLISM; UROLOGY & NEPHROLOGY
ALIMENT PHARM THER	2010.0	31	36	63	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2011.0	39	35	71	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2012.0	31	32	60	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2013.0	24	30	50	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2014.0	23	29	46	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2015.0	23	48	62	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2016.0	27	54	73	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2017.0	17	41	54	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2018.0	30	44	61	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2019.0	22	36	51	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2020.0	27	39	59	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2021.0	12	34	44	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2022.0	17	38	49	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2023.0	18	39	50	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2024.0	22	34	51	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2025.0	22	40	57	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
ALIMENT PHARM THER	2026.0	2	7	9	Alimentary pharmacology &amp; therapeutics	WILEY	0.0		GASTROENTEROLOGY & HEPATOLOGY; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2010.0	6	1	7	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2011.0	2	1	3	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2012.0	8	2	9	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2013.0	5	1	6	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2014.0	3	2	5	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2015.0	0	3	3	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2016.0	2	3	4	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2017.0	1	2	2	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2018.0	4	3	5	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2019.0	2	5	7	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2020.0	1	2	3	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2021.0	5	6	9	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2022.0	1	4	5	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2023.0	3	3	6	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2024.0	1	2	3	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2025.0	2	5	7	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J CARDIOVASC DRUG	2026.0	0	1	1	American journal of cardiovascular drugs : drugs, devices, and other interventions	ADIS INT LTD	0.0		CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
AM J HUM GENET	2010.0	50	27	70	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2011.0	49	11	58	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2012.0	60	33	83	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2013.0	81	36	101	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2014.0	52	35	72	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2015.0	43	31	60	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2016.0	74	69	120	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2017.0	66	53	93	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2018.0	58	62	99	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2019.0	69	85	121	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2020.0	46	77	99	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2021.0	47	79	100	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2022.0	35	80	94	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2023.0	35	78	87	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2024.0	46	99	111	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2025.0	41	99	114	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J HUM GENET	2026.0	1	7	7	American journal of human genetics	CELL PRESS	0.0		GENETICS & HEREDITY
AM J PHYSIOL-CELL PH	2010.0	260	49	265	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2011.0	243	36	246	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2012.0	244	47	253	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2013.0	186	31	189	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2014.0	175	28	179	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2015.0	144	34	148	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2016.0	145	31	151	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2017.0	104	30	108	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2018.0	110	48	117	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2019.0	128	91	169	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2020.0	64	124	148	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2021.0	45	98	102	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2022.0	38	99	108	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2023.0	46	111	121	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2024.0	78	167	181	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2025.0	73	200	211	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-CELL PH	2026.0	10	23	24	American journal of physiology. Cell physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	CELL BIOLOGY; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2010.0	204	30	216	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2011.0	220	24	223	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2012.0	248	39	255	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2013.0	247	47	250	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2014.0	215	38	223	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2015.0	171	37	176	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2016.0	148	31	155	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2017.0	98	29	104	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2018.0	128	60	147	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2019.0	149	92	182	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2020.0	96	105	153	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2021.0	75	98	135	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2022.0	25	64	71	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2023.0	30	76	84	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2024.0	38	91	101	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2025.0	39	111	125	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-ENDOC M	2026.0	2	11	12	American journal of physiology. Endocrinology and metabolism	AMER PHYSIOLOGICAL SOC	1.0	2017	ENDOCRINOLOGY & METABOLISM; PHYSIOLOGY
AM J PHYSIOL-GASTR L	2010.0	219	26	227	American journal of physiology. Gastrointestinal and liver physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
AM J PHYSIOL-GASTR L	2011.0	189	36	197	American journal of physiology. Gastrointestinal and liver physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
AM J PHYSIOL-GASTR L	2012.0	236	58	246	American journal of physiology. Gastrointestinal and liver physiology	AMER PHYSIOLOGICAL SOC	1.0	2017	GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
