journal,JCR Abbreviation,JID,field,Policy,unique_year_count,year_list
Blood cancer journal,BLOOD CANCER J,136.0,ONCOLOGY,1.0,15,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Bone &amp; joint research,BONE JOINT RES,154.0,ORTHOPEDICS,1.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Bone marrow transplantation,BONE MARROW TRANSPL,112.0,IMMUNOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Brain : a journal of neurology,BRAIN,34.0,CLINICAL NEUROLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
British journal of cancer,BRIT J CANCER,142.0,ONCOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
British journal of pharmacology,BRIT J PHARMACOL,157.0,PHARMACOLOGY & PHARMACY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer,CANCER-AM CANCER SOC,151.0,ONCOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer cell,CANCER CELL,125.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Cancer communications (London, England)",CANCER COMMUN,137.0,ONCOLOGY,0.0,8,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer discovery,CANCER DISCOV,124.0,ONCOLOGY,1.0,15,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer gene therapy,CANCER GENE THER,85.0,GENETICS & HEREDITY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer immunology research,CANCER IMMUNOL RES,100.0,IMMUNOLOGY,1.0,13,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Cancer immunology, immunotherapy : CII",CANCER IMMUNOL IMMUN,150.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer research,CANCER RES,127.0,ONCOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer science,CANCER SCI,152.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cardiovascular diabetology,CARDIOVASC DIABETOL,45.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cell metabolism,CELL METAB,41.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cellular &amp; molecular immunology,CELL MOL IMMUNOL,97.0,IMMUNOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology",CHROMOSOME RES,92.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Chronobiology international,CHRONOBIOL INT,197.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation,CIRCULATION,1.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation research,CIRC RES,4.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation. Arrhythmia and electrophysiology,CIRC-ARRHYTHMIA ELEC,10.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation. Cardiovascular imaging,CIRC-CARDIOVASC IMAG,7.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation. Cardiovascular interventions,CIRC-CARDIOVASC INTE,13.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation. Cardiovascular quality and outcomes,CIRC-CARDIOVASC QUAL,25.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation. Genomic and precision medicine,CIRC-GENOM PRECIS ME,82.0,GENETICS & HEREDITY,1.0,8,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical &amp; translational immunology,CLIN TRANSL IMMUNOL,109.0,IMMUNOLOGY,1.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical and experimental pharmacology &amp; physiology,CLIN EXP PHARMACOL P,200.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical and translational medicine,CLIN TRANSL MED,135.0,ONCOLOGY,0.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical cancer research : an official journal of the American Association for Cancer Research,CLIN CANCER RES,130.0,ONCOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical epigenetics,CLIN EPIGENETICS,81.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,CLIN INFECT DIS,101.0,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical physiology and functional imaging,CLIN PHYSIOL FUNCT I,201.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical research in cardiology : official journal of the German Cardiac Society,CLIN RES CARDIOL,24.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Comparative biochemistry and physiology. Part A, Molecular &amp; integrative physiology",COMP BIOCHEM PHYS A,188.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Conservation physiology,CONSERV PHYSIOL,194.0,PHYSIOLOGY - SCIE,0.0,13,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetes,DIABETES,46.0,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetes &amp; metabolism journal,DIABETES METAB J,63.0,ENDOCRINOLOGY & METABOLISM,0.0,15,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetes care,DIABETES CARE,42.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetes research and clinical practice,DIABETES RES CLIN PR,65.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetes technology &amp; therapeutics,DIABETES TECHNOL THE,56.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Diabetes, obesity &amp; metabolism",DIABETES OBES METAB,48.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetes/metabolism research and reviews,DIABETES-METAB RES,62.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetologia,DIABETOLOGIA,43.0,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Endocrinology,ENDOCRINOLOGY,60.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology,EUROINTERVENTION,15.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology",EUROPACE,11.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European journal of applied physiology,EUR J APPL PHYSIOL,186.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"European journal of cancer (Oxford, England : 1990)",EUR J CANCER,143.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European journal of cardiovascular nursing,EUR J CARDIOVASC NUR,23.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European journal of endocrinology,EUR J ENDOCRINOL,53.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European journal of heart failure,EUR J HEART FAIL,3.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European journal of preventive cardiology,EUR J PREV CARDIOL,6.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European urology,EUR UROL,209.0,UROLOGY & NEPHROLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European urology oncology,EUR UROL ONCOL,212.0,UROLOGY & NEPHROLOGY,0.0,8,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Experimental physiology,EXP PHYSIOL,196.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Free radical biology &amp; medicine,FREE RADICAL BIO MED,51.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Frontiers in cardiovascular medicine,FRONT CARDIOVASC MED,14.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Frontiers in endocrinology,FRONT ENDOCRINOL,59.0,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Frontiers in immunology,FRONT IMMUNOL,108.0,IMMUNOLOGY,0.0,15,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Frontiers in physiology,FRONT PHYSIOL,167.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,GASTRIC CANCER,146.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Gene therapy,GENE THER,91.0,GENETICS & HEREDITY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genes &amp; development,GENE DEV,72.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genes &amp; diseases,GENES DIS,80.0,GENETICS & HEREDITY,0.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genes &amp; nutrition,GENES NUTR,86.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genetics in medicine : official journal of the American College of Medical Genetics,GENET MED,73.0,GENETICS & HEREDITY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genome biology,GENOME BIOL,69.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genome medicine,GENOME MED,74.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genome research,GENOME RES,77.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genomics,GENOMICS,87.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Heart (British Cardiac Society),HEART,22.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Heart rhythm,HEART RHYTHM,17.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Horticulture research,HORTIC RES-ENGLAND,79.0,GENETICS & HEREDITY,1.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Human gene therapy,HUM GENE THER,90.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Human molecular genetics,HUM MOL GENET,84.0,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Immunity,IMMUNITY,95.0,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Immunology,IMMUNOLOGY,104.0,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
International journal of cancer,INT J CANCER,144.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
International journal of obesity (2005),INT J OBESITY,64.0,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
International journal of psychophysiology : official journal of the International Organization of Psychophysiology,INT J PSYCHOPHYSIOL,189.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"International journal of radiation oncology, biology, physics",INT J RADIAT ONCOL,149.0,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
JACC. CardioOncology,JACC-CARDIOONCOL,19.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,7,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
JACC. Clinical electrophysiology,JACC-CLIN ELECTROPHY,16.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal for immunotherapy of cancer,J IMMUNOTHER CANCER,128.0,ONCOLOGY,0.0,13,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Journal of applied physiology (Bethesda, Md. : 1985)",J APPL PHYSIOL,187.0,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of autoimmunity,J AUTOIMMUN,110.0,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of biological rhythms,J BIOL RHYTHM,191.0,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,J BONE MINER RES,52.0,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of cardiac failure,J CARD FAIL,12.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of cardiovascular computed tomography,J CARDIOVASC COMPUT,8.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of cardiovascular development and disease,J CARDIOVASC DEV DIS,20.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of cardiovascular electrophysiology,J CARDIOVASC ELECTR,18.0,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,J CEREBR BLOOD F MET,55.0,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal of clinical immunology,J CLIN IMMUNOL,107.0,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
