journal,JCR Abbreviation,JID,essn,eissn,field,Policy,unique_year_count,year_list
"Arthritis &amp; rheumatology (Hoboken, N.J.)",ARTHRITIS RHEUMATOL,202.0,2326-5205,2326-5205,RHEUMATOLOGY,1.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Arthritis research &amp; therapy,ARTHRITIS RES THER,206.0,1478-6362,1478-6362,RHEUMATOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Atherosclerosis,ATHEROSCLEROSIS,33.0,1879-1484,1879-1484,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Basic research in cardiology,BASIC RES CARDIOL,5.0,1435-1803,1435-1803,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"BioFactors (Oxford, England)",BIOFACTORS,57.0,1872-8081,1872-8081,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Blood cancer journal,BLOOD CANCER J,136.0,2044-5385,2044-5385,ONCOLOGY,1.0,15,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Bone &amp; joint research,BONE JOINT RES,154.0,2046-3758,2046-3758,ORTHOPEDICS,1.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Bone marrow transplantation,BONE MARROW TRANSPL,112.0,1476-5365,1476-5365,IMMUNOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Brain : a journal of neurology,BRAIN,34.0,1460-2156,1460-2156,CLINICAL NEUROLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
British journal of cancer,BRIT J CANCER,142.0,1532-1827,1532-1827,ONCOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
British journal of pharmacology,BRIT J PHARMACOL,157.0,1476-5381,1476-5381,PHARMACOLOGY & PHARMACY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer,CANCER-AM CANCER SOC,151.0,1097-0142,1097-0142,ONCOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer cell,CANCER CELL,125.0,1878-3686,1878-3686,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Cancer communications (London, England)",CANCER COMMUN,137.0,2523-3548,2523-3548,ONCOLOGY,0.0,8,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer discovery,CANCER DISCOV,124.0,2159-8290,2159-8290,ONCOLOGY,1.0,15,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer gene therapy,CANCER GENE THER,85.0,1476-5500,1476-5500,GENETICS & HEREDITY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer immunology research,CANCER IMMUNOL RES,100.0,2326-6074,2326-6074,IMMUNOLOGY,1.0,13,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Cancer immunology, immunotherapy : CII",CANCER IMMUNOL IMMUN,150.0,1432-0851,1432-0851,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer research,CANCER RES,127.0,1538-7445,1538-7445,ONCOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cancer science,CANCER SCI,152.0,1349-7006,1349-7006,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cardiovascular diabetology,CARDIOVASC DIABETOL,45.0,1475-2840,1475-2840,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cell metabolism,CELL METAB,41.0,1932-7420,1932-7420,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Cellular &amp; molecular immunology,CELL MOL IMMUNOL,97.0,2042-0226,2042-0226,IMMUNOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology",CHROMOSOME RES,92.0,1573-6849,1573-6849,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Chronobiology international,CHRONOBIOL INT,197.0,1525-6073,1525-6073,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation,CIRCULATION,1.0,1524-4539,1524-4539,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation research,CIRC RES,4.0,1524-4571,1524-4571,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation. Arrhythmia and electrophysiology,CIRC-ARRHYTHMIA ELEC,10.0,1941-3084,1941-3084,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation. Cardiovascular imaging,CIRC-CARDIOVASC IMAG,7.0,1942-0080,1942-0080,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation. Cardiovascular interventions,CIRC-CARDIOVASC INTE,13.0,1941-7632,1941-7632,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation. Cardiovascular quality and outcomes,CIRC-CARDIOVASC QUAL,25.0,1941-7713,1941-7713,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Circulation. Genomic and precision medicine,CIRC-GENOM PRECIS ME,82.0,2574-8300,2574-8300,GENETICS & HEREDITY,1.0,8,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical &amp; translational immunology,CLIN TRANSL IMMUNOL,109.0,2050-0068,2050-0068,IMMUNOLOGY,1.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical and experimental pharmacology &amp; physiology,CLIN EXP PHARMACOL P,200.0,1440-1681,1440-1681,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical and translational medicine,CLIN TRANSL MED,135.0,2001-1326,2001-1326,ONCOLOGY,0.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical cancer research : an official journal of the American Association for Cancer Research,CLIN CANCER RES,130.0,1557-3265,1557-3265,ONCOLOGY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical epigenetics,CLIN EPIGENETICS,81.0,1868-7083,1868-7083,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,CLIN INFECT DIS,101.0,1537-6591,1537-6591,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical physiology and functional imaging,CLIN PHYSIOL FUNCT I,201.0,1475-097X,1475-097X,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Clinical research in cardiology : official journal of the German Cardiac Society,CLIN RES CARDIOL,24.0,1861-0692,1861-0692,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Comparative biochemistry and physiology. Part A, Molecular &amp; integrative physiology",COMP BIOCHEM PHYS A,188.0,1531-4332,1531-4332,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Conservation physiology,CONSERV PHYSIOL,194.0,2051-1434,2051-1434,PHYSIOLOGY - SCIE,0.0,13,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetes,DIABETES,46.0,1939-327X,1939-327X,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetes &amp; metabolism journal,DIABETES METAB J,63.0,2233-6087,2233-6087,ENDOCRINOLOGY & METABOLISM,0.0,15,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetes care,DIABETES CARE,42.0,1935-5548,1935-5548,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetes research and clinical practice,DIABETES RES CLIN PR,65.0,1872-8227,1872-8227,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetes technology &amp; therapeutics,DIABETES TECHNOL THE,56.0,1557-8593,1557-8593,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Diabetes, obesity &amp; metabolism",DIABETES OBES METAB,48.0,1463-1326,1463-1326,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetes/metabolism research and reviews,DIABETES-METAB RES,62.0,1520-7560,1520-7560,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Diabetologia,DIABETOLOGIA,43.0,1432-0428,1432-0428,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Endocrinology,ENDOCRINOLOGY,60.0,1945-7170,1945-7170,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology,EUROINTERVENTION,15.0,1969-6213,1969-6213,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology",EUROPACE,11.0,1532-2092,1532-2092,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European journal of applied physiology,EUR J APPL PHYSIOL,186.0,1439-6327,1439-6327,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"European journal of cancer (Oxford, England : 1990)",EUR J CANCER,143.0,1879-0852,1879-0852,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European journal of cardiovascular nursing,EUR J CARDIOVASC NUR,23.0,1873-1953,1873-1953,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European journal of endocrinology,EUR J ENDOCRINOL,53.0,1479-683X,1479-683X,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European journal of heart failure,EUR J HEART FAIL,3.0,1879-0844,1879-0844,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European journal of preventive cardiology,EUR J PREV CARDIOL,6.0,2047-4881,2047-4881,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,14,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European urology,EUR UROL,209.0,1873-7560,1873-7560,UROLOGY & NEPHROLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
European urology oncology,EUR UROL ONCOL,212.0,2588-9311,2588-9311,UROLOGY & NEPHROLOGY,0.0,8,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Experimental physiology,EXP PHYSIOL,196.0,1469-445X,1469-445X,PHYSIOLOGY - SCIE,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Free radical biology &amp; medicine,FREE RADICAL BIO MED,51.0,1873-4596,1873-4596,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Frontiers in cardiovascular medicine,FRONT CARDIOVASC MED,14.0,2297-055X,2297-055X,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Frontiers in endocrinology,FRONT ENDOCRINOL,59.0,1664-2392,1664-2392,ENDOCRINOLOGY & METABOLISM,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Frontiers in immunology,FRONT IMMUNOL,108.0,1664-3224,1664-3224,IMMUNOLOGY,0.0,15,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Frontiers in physiology,FRONT PHYSIOL,167.0,1664-042X,1664-042X,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,GASTRIC CANCER,146.0,1436-3305,1436-3305,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Gene therapy,GENE THER,91.0,1476-5462,1476-5462,GENETICS & HEREDITY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genes &amp; development,GENE DEV,72.0,1549-5477,1549-5477,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genes &amp; diseases,GENES DIS,80.0,2352-3042,2352-3042,GENETICS & HEREDITY,0.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genes &amp; nutrition,GENES NUTR,86.0,1865-3499,1865-3499,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genetics in medicine : official journal of the American College of Medical Genetics,GENET MED,73.0,1530-0366,1530-0366,GENETICS & HEREDITY,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genome biology,GENOME BIOL,69.0,1474-760X,1474-760X,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genome medicine,GENOME MED,74.0,1756-994X,1756-994X,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genome research,GENOME RES,77.0,1549-5469,1549-5469,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Genomics,GENOMICS,87.0,1089-8646,1089-8646,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Heart (British Cardiac Society),HEART,22.0,1468-201X,1468-201X,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Heart rhythm,HEART RHYTHM,17.0,1556-3871,1556-3871,CARDIAC & CARDIOVASCULAR SYSTEMS ,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Horticulture research,HORTIC RES-ENGLAND,79.0,2052-7276,2052-7276,GENETICS & HEREDITY,1.0,12,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Human gene therapy,HUM GENE THER,90.0,1557-7422,1557-7422,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Human molecular genetics,HUM MOL GENET,84.0,1460-2083,1460-2083,GENETICS & HEREDITY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Immunity,IMMUNITY,95.0,1097-4180,1097-4180,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Immunology,IMMUNOLOGY,104.0,1365-2567,1365-2567,IMMUNOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
International journal of cancer,INT J CANCER,144.0,1097-0215,1097-0215,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
International journal of obesity (2005),INT J OBESITY,64.0,1476-5497,1476-5497,ENDOCRINOLOGY & METABOLISM,1.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
International journal of psychophysiology : official journal of the International Organization of Psychophysiology,INT J PSYCHOPHYSIOL,189.0,1872-7697,1872-7697,PHYSIOLOGY - SCIE,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
"International journal of radiation oncology, biology, physics",INT J RADIAT ONCOL,149.0,1879-355X,1879-355X,ONCOLOGY,0.0,16,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
JACC. CardioOncology,JACC-CARDIOONCOL,19.0,2666-0873,2666-0873,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,7,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
JACC. Clinical electrophysiology,JACC-CLIN ELECTROPHY,16.0,2405-5018,2405-5018,CARDIAC & CARDIOVASCULAR SYSTEMS ,1.0,11,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
Journal for immunotherapy of cancer,J IMMUNOTHER CANCER,128.0,2051-1426,2051-1426,ONCOLOGY,0.0,13,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025"
